size,40 WILLS. 1858.,TAYLOR William.,TAYLOR William Stanhope,13 March.,16 March.,8 May.,12 May.,Effects under £20.,"Effects under £3,000.","Effects under £20,000.",who died 8 December 1857,"who died
11 February 1858","who died 4 April
1858",who died 29 June 1857
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,0,0,0,1,0,0,0,0,0,0,0,0
18,1,1,1,0,0,0,0,0,0,0,0,0,0,0
19,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20,0,1,1,1,0,0,0,0,0,0,1,0,0,0
21,1,1,1,1,0,0,0,0,0,0,0,1,0,0
22,0,1,1,0,0,1,1,0,0,0,0,0,0,1
23,1,1,1,1,0,0,0,0,0,0,0,1,0,0
24,0,1,1,0,0,0,1,0,0,1,1,1,1,0
25,1,1,1,1,0,1,1,0,0,0,0,1,1,0
26,1,1,1,1,0,1,1,0,1,0,1,1,0,0
27,1,1,1,1,0,1,1,1,0,1,1,1,1,1
28,0,1,1,0,1,0,1,0,0,1,1,1,1,1
29,1,1,1,1,0,1,1,1,1,1,1,1,1,1
30,0,1,1,1,1,1,1,1,0,1,1,1,0,1
31,0,1,1,1,0,1,1,1,1,1,1,1,1,0
32,1,1,1,1,1,1,1,0,1,0,1,1,1,0
33,0,1,1,1,1,0,0,1,0,1,1,1,1,1
34,0,1,1,1,1,0,0,1,1,1,1,1,1,1
35,0,1,1,1,1,1,1,1,1,1,1,1,1,0
36,0,1,1,1,1,0,1,1,0,1,1,0,1,1
37,0,1,1,1,1,0,1,1,0,1,1,1,1,0
38,0,1,1,0,1,0,1,1,0,1,1,1,1,1
39,0,1,1,1,1,0,1,0,1,1,1,1,1,1
40,0,1,1,1,1,0,1,1,1,1,1,1,1,0
41,0,1,1,1,1,0,1,1,1,1,1,1,1,1
42,0,1,1,1,1,0,1,1,0,1,1,1,1,1
43,0,1,1,1,1,0,1,0,1,1,1,1,1,0
44,0,1,1,1,1,0,1,1,0,1,1,1,1,0
45,0,1,1,1,1,0,1,1,1,1,1,1,1,1
46,0,1,1,1,1,0,0,1,0,1,1,1,1,0
47,1,1,1,1,1,0,1,1,0,1,1,1,1,0
48,0,1,1,1,1,0,1,1,0,1,1,1,1,1
49,0,1,1,1,1,0,1,1,1,1,1,1,0,1
50,1,1,1,1,1,0,1,1,1,1,1,1,1,1
51,0,1,1,1,1,0,1,1,1,1,1,1,1,1
52,0,1,1,1,1,0,1,1,1,1,1,1,1,1
53,0,1,1,1,1,0,1,1,1,1,1,1,1,1
54,0,1,1,1,1,0,1,1,1,1,1,1,1,1
55,0,1,1,1,1,0,1,1,1,1,1,1,1,1
56,0,1,1,1,1,0,1,1,0,1,1,1,1,1
57,0,1,1,1,1,0,1,1,1,1,1,1,0,1
58,0,1,1,1,1,0,1,1,1,1,1,1,1,1
59,0,1,1,1,1,0,1,1,1,1,1,1,1,1
60,0,1,1,1,1,0,1,1,1,1,1,1,1,1
61,0,1,1,1,1,0,1,1,1,1,1,1,1,1
62,0,1,1,1,1,0,1,1,1,1,1,1,1,1
63,0,1,1,1,1,0,1,1,1,1,1,1,1,1
64,0,1,1,1,1,0,1,1,1,1,1,1,1,1
65,0,1,1,1,1,0,1,1,1,1,1,1,1,1
66,0,1,1,1,1,0,1,1,1,1,1,1,1,1
67,0,1,1,1,1,0,1,1,1,1,1,1,1,1
68,0,1,1,1,1,0,1,1,1,1,1,1,1,1
69,1,1,1,1,1,0,1,1,1,1,1,1,1,1
70,1,1,1,1,1,0,1,1,1,1,1,1,1,0
71,0,1,1,1,1,0,1,1,1,1,1,1,1,0
72,0,1,1,1,1,0,0,1,1,1,1,1,1,1
73,1,1,1,1,1,0,1,1,1,1,1,1,1,1
74,0,1,1,1,1,0,1,1,1,1,1,1,1,0
75,1,1,1,1,1,0,1,1,1,1,1,1,1,1
76,0,1,1,1,1,1,1,1,1,1,1,1,1,0
77,0,1,1,1,1,0,1,1,1,1,1,1,1,1
78,0,1,1,1,1,0,1,1,1,1,1,1,1,1
79,0,1,1,1,1,0,1,1,1,1,1,1,1,1
80,0,1,1,1,1,0,1,1,1,1,1,1,1,1
81,0,1,1,1,1,0,1,1,1,1,1,1,1,1
82,1,1,1,1,1,0,1,1,1,1,1,1,1,1
83,0,1,1,1,1,1,1,1,1,1,1,1,1,1
84,1,1,1,1,1,0,1,1,1,1,1,1,1,1
85,0,1,1,1,1,0,1,1,1,1,1,1,1,1
86,0,1,1,1,1,1,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,0,1,1,0,1,0,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,0,1,1,1,1,1,1,1,1,1,1,1,1,0
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,1,1,1,1,1,1,1,1,1,1,1,1,1,0
95,1,1,1,1,1,0,1,1,0,1,1,1,1,1
96,1,1,1,1,1,0,1,1,1,1,1,1,1,1
