size,ADMINISTRATIONS. 1860. 151,WOODWARD William.,WOODYEAR,WOODYEAR Charles William.,WOODYEAR Dampier.,26 December.,21 September.,29 September.,Effects under £450.,Effects under £200.,who died 27 April 1860,who died 4 March 1824,who died 9 October 1825,"who died
9 February 1808"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17,0,0,1,0,1,0,0,0,0,0,0,0,0,0
18,0,1,1,0,1,0,0,0,0,0,0,0,0,0
19,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20,0,1,1,1,1,0,1,0,0,0,0,0,0,0
21,0,1,1,1,1,0,0,0,0,0,0,0,0,0
22,0,1,1,1,1,1,1,0,0,0,1,1,1,0
23,0,1,1,1,1,1,1,1,0,0,1,1,1,0
24,0,1,1,1,1,1,1,0,0,0,1,0,1,1
25,0,1,1,1,1,1,1,1,0,0,1,1,1,1
26,0,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,1,1,1,1,1,1,1,0,1,1,1,1,1
28,0,1,1,1,1,0,1,1,1,1,1,1,1,1
29,0,1,1,1,1,1,1,1,1,1,1,1,1,1
30,0,1,1,1,1,1,1,1,0,1,1,1,1,1
31,0,1,1,1,1,0,1,1,1,1,1,1,1,1
32,0,1,1,1,1,1,1,1,0,1,1,1,1,1
33,0,1,1,1,1,0,1,1,1,1,1,1,1,1
34,0,1,1,1,1,0,1,1,1,1,1,0,1,1
35,0,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0,1,1,1,1,1,1,1,0,1,1,1,1,1
37,0,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0,1,1,1,1,1,1,1,1,1,1,1,1,1
39,0,1,1,1,1,0,1,1,0,1,1,1,1,1
40,0,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
43,0,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0,1,1,1,1,1,1,1,1,1,1,1,1,1
46,0,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0,1,1,1,1,1,1,1,1,1,1,1,1,1
48,0,1,1,1,1,1,1,1,1,1,1,1,1,1
49,0,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0,1,1,1,1,1,1,1,1,1,1,1,1,1
51,0,1,1,1,1,1,1,1,1,1,1,1,1,1
52,0,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0,1,1,1,1,1,1,1,1,1,1,1,1,1
54,0,1,1,1,1,1,1,1,1,1,1,1,1,1
55,0,1,1,1,1,1,1,1,1,1,1,1,1,1
56,0,1,1,1,1,1,1,1,1,1,1,1,1,1
57,0,1,1,1,1,1,1,1,1,1,1,1,1,1
58,0,1,1,1,1,1,1,1,1,1,1,1,1,1
59,0,1,1,1,1,1,1,1,1,1,1,1,1,1
60,0,1,1,1,1,1,1,1,1,1,1,1,1,1
61,0,1,1,1,1,1,1,1,1,1,1,1,1,1
62,0,1,1,1,1,1,1,1,1,1,1,1,1,1
63,0,1,1,1,1,1,1,1,1,1,1,1,1,1
64,0,1,1,1,1,1,1,1,1,1,1,1,1,1
65,0,1,1,1,1,1,1,1,1,1,1,1,1,1
66,0,1,1,1,1,1,1,1,1,1,1,1,1,1
67,0,1,1,1,1,1,1,1,1,1,1,1,1,1
68,0,1,1,1,1,1,1,1,1,1,1,1,1,1
69,0,1,1,1,1,1,1,1,1,1,1,1,1,1
70,0,1,1,1,1,1,1,1,1,1,1,1,1,1
71,0,1,1,1,1,1,1,1,1,1,1,1,1,1
72,0,1,1,1,1,1,1,1,1,1,1,1,1,1
73,0,1,1,1,1,1,1,1,1,1,1,1,1,1
74,0,1,1,1,1,1,1,1,1,1,1,1,1,1
75,0,1,1,1,1,1,1,1,1,1,1,1,1,1
76,0,1,1,1,1,1,1,1,1,1,1,1,1,1
77,0,1,1,1,1,1,1,1,1,1,1,1,1,1
78,0,1,1,1,1,1,1,1,1,1,1,1,1,1
79,0,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,1,1,1,1,1,1,1,1,1,1,1,1,1
82,0,1,1,1,1,1,1,1,1,1,1,1,1,1
83,0,1,1,1,1,1,1,1,1,1,1,1,1,1
84,0,1,1,1,1,1,1,1,1,1,1,1,1,1
85,0,1,1,1,1,1,1,1,1,1,1,1,1,1
86,0,1,1,1,1,1,1,1,1,1,1,1,1,1
87,0,1,1,1,1,1,1,1,1,1,1,1,1,1
88,0,1,1,1,1,1,1,1,1,1,1,1,1,1
89,0,1,1,1,1,1,1,1,1,1,1,1,1,1
90,0,1,1,1,1,1,1,1,1,1,1,1,1,1
91,0,1,1,1,1,1,1,1,1,1,1,1,1,1
92,0,1,1,1,1,1,1,1,1,1,1,1,1,1
93,0,1,1,1,1,1,1,1,1,1,1,1,1,1
94,0,1,1,1,1,1,1,1,1,1,1,1,1,1
95,0,1,1,1,1,1,1,1,1,1,1,1,1,1
